Energy [keV],A1,A2,A3,A4,A5,A6,A7,A8,A9,A11,A12,A13,A14,A15,A16,A17,A18
130.3,3.26E-02,8.93E+02,6.34E+00,5.48E-01,1.58E+01,4.24E-04,7.50E+02,3.40E-02,8.20E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
129.5,3.73E-02,8.92E+02,7.33E+00,2.49E-01,1.91E+01,3.63E-04,7.50E+02,3.79E-02,7.87E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
292.2,6.54E-03,1.05E+03,7.15E+00,3.70E-01,2.13E+01,2.38E-04,1.99E+04,7.01E-03,9.94E+00,1.90E-05,2.52E-03,2.90E+02,4.97E+00,2.18E+00,1.89E-03,5.12E-06,1.86E+02
291.3,6.02E-03,1.05E+03,5.44E+00,4.31E-01,1.49E+01,2.99E-04,9.00E+03,6.44E-03,1.04E+01,8.04E-06,3.01E-03,2.89E+02,7.71E+00,6.99E+00,3.55E-03,4.07E-05,1.82E+02
407.7,4.18E-03,1.17E+03,2.22E+00,1.51E+00,9.28E+00,5.02E-04,3.69E+02,5.23E-03,1.03E+01,6.53E-06,1.23E-03,4.06E+02,5.58E+00,9.19E+00,3.02E-03,2.66E-05,2.45E+02
406.7,4.87E-03,1.16E+03,5.72E+00,4.91E-01,1.46E+01,2.48E-04,9.00E+02,5.57E-03,1.04E+01,7.10E-06,1.13E-03,4.07E+02,3.45E+00,1.08E+01,2.80E-03,1.68E-05,2.45E+02
540.5,4.60E-03,1.31E+03,5.33E+00,1.23E+00,1.16E+01,2.59E-04,3.30E+02,5.02E-03,9.82E+00,1.92E-06,8.62E-04,5.51E+02,4.42E+00,1.01E+01,1.72E-03,1.96E-06,3.34E+02
539.4,5.32E-03,1.31E+03,4.41E+00,7.61E-01,1.00E+01,2.19E-04,3.70E+02,5.98E-03,1.08E+01,2.26E-06,8.58E-04,5.51E+02,3.56E+00,9.28E+00,1.81E-03,3.98E-06,3.28E+02
680.5,4.70E-03,1.44E+03,5.69E+00,8.58E-01,1.93E+01,1.98E-04,7.07E+02,5.33E-03,9.48E+00,7.24E-07,7.41E-04,6.87E+02,6.76E+00,1.33E+01,1.82E-03,7.44E-06,4.04E+02
679.3,5.30E-03,1.44E+03,6.03E+00,3.12E-01,1.91E+01,1.80E-04,6.19E+02,6.02E-03,1.04E+01,1.12E-06,6.66E-04,6.87E+02,4.71E+00,1.25E+01,1.73E-03,6.09E-06,3.99E+02
891.6,2.85E-03,1.66E+03,4.09E+00,1.05E+00,2.18E+01,1.33E-04,1.47E+03,3.48E-03,1.13E+01,6.83E-07,3.61E-04,9.05E+02,4.23E+00,1.71E+01,1.19E-03,2.27E-06,5.34E+02
890.1,4.27E-03,1.65E+03,7.17E+00,1.80E-01,2.63E+01,9.40E-05,1.09E+04,4.75E-03,9.44E+00,7.22E-07,3.31E-04,9.07E+02,4.60E+00,1.56E+01,1.01E-03,1.10E-06,5.23E+02
1099.5,2.13E-03,1.87E+03,7.96E+00,1.27E+00,2.61E+01,1.71E-04,4.57E+02,2.47E-03,9.21E+00,7.46E-07,2.78E-04,1.13E+03,1.17E+01,2.09E+01,9.25E-04,2.14E-06,6.47E+02
1097.8,3.31E-03,1.86E+03,5.99E+00,1.38E+00,1.09E+01,1.05E-04,2.14E+04,3.82E-03,8.68E+00,5.38E-07,2.45E-04,1.11E+03,5.60E+00,1.82E+01,9.67E-04,1.86E-06,6.38E+02
1305.5,1.84E-03,2.07E+03,1.99E+00,9.69E-01,3.51E+01,1.51E-04,7.33E+02,1.76E-03,9.78E+00,3.04E-07,2.05E-04,1.31E+03,1.44E+01,2.05E+01,6.65E-04,3.50E-07,7.94E+02
1303.7,2.80E-03,2.07E+03,1.89E+00,1.30E+00,1.52E+01,1.42E-04,6.23E+02,2.98E-03,9.30E+00,2.52E-07,2.26E-04,1.32E+03,1.31E+01,2.77E+01,7.69E-04,5.42E-07,7.86E+02
2018.8,6.43E-04,2.81E+03,1.41E+01,6.09E-01,1.17E+02,7.33E-05,1.68E+04,7.51E-04,1.09E+01,1.37E-07,7.77E-05,1.96E+03,2.30E+01,3.05E+01,3.05E-04,-5.52E-08,1.32E+03
2016.3,1.08E-03,2.80E+03,4.61E+00,1.05E+00,4.14E+01,7.23E-05,2.12E+04,1.23E-03,1.14E+01,1.65E-07,5.23E-05,2.04E+03,1.90E+01,2.70E+01,2.87E-04,-2.99E-08,1.30E+03
3028.3,1.50E-04,3.82E+03,1.62E+01,9.30E-01,1.36E+02,5.46E-05,1.54E+04,2.10E-04,2.35E+01,5.77E-08,3.52E-05,3.03E+03,3.59E+02,2.67E+01,2.30E-04,-1.79E-08,2.05E+03
3024.9,2.73E-04,3.82E+03,2.68E+00,1.22E+00,7.07E+01,5.64E-05,1.51E+04,3.85E-04,1.58E+01,7.84E-08,1.18E-05,3.03E+03,1.51E+02,3.38E+01,2.34E-04,5.63E-08,2.00E+03